filename,coords,ocr_text,correct_name
Снимок экрана 2025-03-31 в 14.24.53.png,"(186, 88, 1831, 177)",, 
Снимок экрана 2025-03-31 в 14.25.03.png,"(95, 87, 1766, 196)",, 
Снимок экрана 2025-03-31 в 14.25.15.png,"(269, 155, 415, 205)",2,"(1649, 154, 1734, 204)",3,2-3
Снимок экрана 2025-03-31 в 14.25.17.png,"(303, 161, 380, 204)",4,"(1651, 149, 1730, 188)",5,4-5
Снимок экрана 2025-03-31 в 14.25.22.png,"(314, 151, 367, 191)",6,"(1644, 143, 1732, 190)",B,6-7
Снимок экрана 2025-03-31 в 14.25.53.png,"(312, 152, 383, 196)",&,"(1654, 144, 1719, 184)",9,8-9
Снимок экрана 2025-03-31 в 14.26.35.png,"(321, 148, 377, 180)",410,"(1660, 154, 1697, 187)",rt,10-11
Снимок экрана 2025-03-31 в 14.26.50.png,"(324, 158, 390, 192)",412,"(1655, 149, 1704, 185)",43,12-13
Снимок экрана 2025-03-31 в 14.26.52.png,"(322, 154, 392, 189)",14,"(1645, 158, 1709, 194)",45,14-15
Снимок экрана 2025-03-31 в 14.26.55.png,"(333, 157, 382, 192)",16,"(1671, 153, 1783, 215)",oe,16
Снимок экрана 2025-03-31 в 14.26.59.png,"(362, 181, 425, 214)",418,"(1610, 164, 1671, 192)",49,18-19
Снимок экрана 2025-03-31 в 14.27.01.png,"(329, 163, 399, 201)",20,"(1641, 165, 1720, 199)",aA,20-21
Снимок экрана 2025-03-31 в 14.27.03.png,"(331, 163, 391, 203)",22,"(1637, 153, 1704, 194)",23,22-23
Снимок экрана 2025-03-31 в 14.27.18.png,"(328, 160, 405, 196)",24,"(1658, 160, 1728, 192)",25,24-25
Снимок экрана 2025-03-31 в 14.27.20.png,"(306, 148, 374, 182)",26,"(1651, 165, 1718, 198)",27,26-27
Снимок экрана 2025-03-31 в 14.27.22.png,"(320, 171, 380, 201)",28,"(1650, 148, 1703, 184)",29,28-29
Снимок экрана 2025-03-31 в 14.27.24.png,"(319, 149, 392, 186)",30,"(1673, 156, 1723, 196)",3t,30-31
Снимок экрана 2025-03-31 в 14.27.27.png,"(319, 159, 383, 193)",32,"(1644, 161, 1695, 195)",33,32-33
Снимок экрана 2025-03-31 в 14.27.28.png,"(326, 169, 394, 209)",34,"(1651, 159, 1701, 192)",aD),34-35
Снимок экрана 2025-03-31 в 14.27.30.png,"(326, 167, 385, 199)",36,"(1642, 162, 1705, 199)",37,36-37
Снимок экрана 2025-03-31 в 14.27.32.png,"(324, 171, 380, 200)",38,"(324, 171, 380, 200)",38,38-38
Снимок экрана 2025-03-31 в 14.27.34.png,"(324, 155, 398, 199)",40,"(1653, 152, 1708, 190)",aN,40-41
Снимок экрана 2025-03-31 в 14.27.37.png,"(329, 150, 404, 188)",42.,"(1631, 145, 1696, 183)",43,42-43
Снимок экрана 2025-03-31 в 14.27.39.png,"(336, 156, 397, 194)",AS,"(1637, 158, 1696, 196)",45,44-45
Снимок экрана 2025-03-31 в 14.27.41.png,"(342, 168, 399, 203)",46,"(1643, 164, 1703, 195)",47,46-47
Снимок экрана 2025-03-31 в 14.27.43.png,"(334, 165, 394, 197)",48,"(1634, 154, 1696, 193)",49,48-49
Снимок экрана 2025-03-31 в 14.27.45.png,"(333, 166, 385, 204)",50,"(1632, 149, 1692, 195)",ot,50-51
Снимок экрана 2025-03-31 в 14.27.46.png,"(326, 149, 385, 194)",52,"(1623, 148, 1690, 184)",53,52-53
Снимок экрана 2025-03-31 в 14.27.48.png,"(344, 166, 392, 191)",54,"(1642, 170, 1681, 191)",55,54-55
Снимок экрана 2025-03-31 в 14.27.49.png,"(353, 178, 384, 201)",56,"(1683, 171, 1724, 202)",ice,56
